act_name,section_number,section_title,content,doc_types
"Delhi and Ajmer Rent Control Act, 1952",47,The First Schedule,"[See Section 1(2)] Areas to which The Act Extends A. The State of Delhi1. The Municipality of Delhi; 2. The Municipality of New Delhi; 3. The Cantonment of Delhi; 4. The Notified Area of the Civil Station, Delhi; 5. The Municipality of Shahdara; 6. The Notified Area, Red Fort; 7. The West Notified Area, Delhi. B. The State of Ajmer1. The Municipality of Ajmer and all land within one mile of the limits of that Municipality; 2. The Municipality of Beawar and all land within one mile of the limits of that Municipality; 3. The Cantonment of Nasirabad and all land within one mile of the limits of that Cantonment.",rent_agreement
"Delhi and Ajmer Rent Control Act, 1952",48,The Second Schedule,"[See Section 2 (I)] Part A Provisions for Determining The Standard Rent of Premises in The State of Delhi 1. In this Part of this Schedule, ""basic rent"" in relation to any premises means- (a) where the fair rent of the premises has been determined or redetermined under the provisions of the New Delhi House Rent Control Order, 1939 the rent as so determined or, as the case may be, redetermined; (b) where the standard rent of the premises has been fixed by the court under section 7 of the Delhi Rent Control Ordinance, 1944 (XXV of 1944), the rent as so fixed; (c) in any other case, (i) the rent at which the premises were let on the 1st day of November, 1939, or (ii) if the premises were not let on that date, the rent at which they were first let at any time after that date but before the 2nd day of June, 1944. 2. Where the premises in respect of which rent is payable were let, for whatever purpose, on or after the 2nd day of June, 1944, the standard rent of the premises shall be- (a) where the standard rent of the premises has been fixed by the Rent Controller under the provisions of the Fourth Schedule to the Delhi and Ajmer-Merwara Rent Control Act, 1947 (19 of 1947), such standard rent; or (b) where the standard rent has been fixed by the court under clause (b) of sub-section (1) of section 8, such standard rent; or (c) in any other case, so long as the standard rent is not fixed by the court, the rent at which the premises were first let. 3. Where the premises in respect of which rent is payable not being premises to which paragraph 2 applies, are let for the purpose of being used as a residence or for any of the purposes of a public hospital, an educational institution, a public library or reading-room or an orphanage, the standard rent of the premises shall be the basic rent increased by- (a) 12½ per cent. thereof, if the basic rent per annum is not more than Rs. 300; (b) 15⅝ per cent. thereof, if the basic rent per annum is more than Rs. 300, but not more than Rs. 600; (c) 18¾ per cent. thereof, if the basic rent per annum is more than Rs. 600, but not more than Rs. 1,200; or (d) 25 per cent. thereof, if the basic rent per annum is more than Rs. 1,200. 4. Where the premises in respect of which rent is payable, not being premises to which paragraph 2 applies, are let for any purpose other than those mentioned in paragraph 3, the standard rent of the premises shall be the basic rent increased by twice the amount by which it would be increased under paragraph 3 if the premises were let for a purpose mentioned in that paragraph. 5. Where the premises in respect of which rent is payable, not being premises to which paragraph 2 applies, are used mainly as a residence and incidentally for business or profession, the standard rent of the premises shall be the mean of the rent as calculated under paragraphs 3 and 4.",rent_agreement
"Delhi and Ajmer Rent Control Act, 1952",49,Part B,"Provisions for Determining The Standard Rent of Premises in The State of Ajmer 1. In this Part of this Schedule, ""basic rent"" in relation to any premises means- (a) where the fair rent of the premises has been determined or predetermined under the provisions of the Ajmer House Rent Control Order, 1943, the rent as so determined or, as the case may be, predetermined; (b) in any other case,- (i) the rent at which the premises were let on the 1st day of September, 1939, or (ii) if the premises were not let on that date, the rent at which they were first let at any time after that date but before the 2nd day of June, 1944. 2. Where the premises in respect of which rent is payable were let, for whatever purpose on or after the 2nd day of June, 1944, the standard rent of the premises shall be- (a) where the standard rent has been fixed by the court under clause (b) of sub-section (1) of section 8, such standard rent; or (b) in any other case, so long as the standard rent is not fixed by the court, the rent at which the premises were first let. 3. Where the premises in respect of which rent is payable are let for use as a residence, not being premises to which paragraph 2 applies, the standard rent of the premises shall be the basic rent increased by- (a) 8½ per cent. thereof, if the basic rent per annum is not more than Rs. 300; (b) 12½ per cent. thereof, if the basic rent per annum is more than Rs. 300 but not more than Rs. 600; (c) 18¾ per cent. thereof, if the basic rent per annum is more than Rs. 600, but not more than Rs. 1,200; or (d) 25 per cent. thereof, if the basic rent per annum is more than Rs. 1,200. 4. Where the premises in respect of which rent is payable are let for any purpose other than use as a residence, not being premises to which paragraph 2 applied, the standard rent of the premises shall be the basic rent increased by- (a) 25 per cent. thereof, if the basic rent per annum is not more than Rs. 600; (b) 37½ per cent. thereof, if the basic rent per annum is more than Rs. 600, but not more than Rs. 1,200; or (c) 50 per cent. thereof, if the basic rent per annum is more than Rs. 1,200. 5. Where the premises in respect of which rent is payable, not being premises to which paragraph 2 applies, are used mainly as a residence and incidentally for business or profession, the standard rent of the premises shall be the mean of the rent as calculated under paragraphs 3 and 4.",rent_agreement
"Delhi and Ajmer Rent Control Act, 1952",5,Unlawful charges not to be claimed or received.-,"(1) Subject to the provisions of this Act, no person shall claim or receive any rent in excess of the standard rent, notwithstanding any agreement to the contrary. (2) No person shall, in consideration of the grant, continuance or renewal of a tenancy or sub-tenancy of any premises, claim or receive the payment of any premium, pugree, fine, advance or any other like sum in addition to the rent. Explanation.-Receipt of rent in advance for a period not exceeding one month shall not be deemed to be an advance within the meaning of this section. (3) It shall not be lawful for the tenant or any other person acting or purporting to act on behalf of the tenant or a sub-tenant to claim or receive any payment in consideration of the relinquishment of his tenancy or sub-tenancy, as the case may be, of any premises. (4) Nothing in this section shall apply- (a) to any payment made in pursuance of an agreement entered into before the 1st day of November, 1939; or (b) to any payment made under an agreement by any person to a landlord for the purpose of financing the construction of the whole or part of any premises on the land belonging to the landlord, if one of the conditions of the agreement is that the landlord is to let to such person the whole or part of the premises when completed for the use of such person or any member of his family: Provided that such payment does not exceed the amount of agreed rent for a period of five years of the whole or part of the premises to be let to such person. Explanation.-For the purposes of clause (b) of this sub-section, a ""member of the family"" means, in the case of an undivided Hindu family, any member of such family and in the case of any other family, the husband, wife, son, daughter, father, mother, brother, sister or any other person dependent on him.",rent_agreement
"Delhi and Ajmer Rent Control Act, 1952",6,Lawful increases of standard rent.-,"(1) Where a landlord has at any time, whether before or after the commencement of this Act, incurred expenditure for any improvement, addition or structural alteration in the premises , not being expenditure on decoration or tenantable repairs necessary or usual for such premises, and the cost of that improvement, addition or alteration has not been taken into account in determining the standard rent of the premises, the landlord may lawfully increase the standard rent per year by an amount not exceeding seven and a half per cent. of such cost. (2) Where a landlord pays in respect of the premises any charge for electricity or water consumed in the premises or any other charge levied by a local authority having jurisdiction in the area which is ordinarily payable by the tenant, he may recover from the tenant any amount so paid by him; but no landlord shall recover from the tenant whether by means of an increase in rent or otherwise the amount of any tax on building or land imposed in respect of the premises occupied by the tenant: Provided that nothing in this sub-section shall affect the liability of any tenant under an agreement entered into before the 1st day of January, 1952, whether express or implied, to pay from time to time the amount of any such tax as aforesaid. (3) Where a part of the premises let for use to a tenant has been sub-let by him- (a) the landlord may lawfully increase the rent payable by the tenant- (i) in the case of any premises let for residential purposes, by an amount not exceeding twelve and one-half per cent. of the standard rent of the part sub-let; (ii) in the case of any premises let for other purposes, by an amount not exceeding twenty-five per cent. of the standard rent of the part sub-let; (b) the tenant may lawfully increase the rent payable by the sub-tenant- (i) in the case of any premises let for residential purposes, by an amount not exceeding twenty-five per cent. of the standard rent of the part sub-let; and (ii) in the case of any premises let for other purposes, by an amount not exceeding fifty per cent. of the standard rent of the part sub-let; (c) the tenant shall, on being so requested in writing by the landlord, supply, within fourteen days of such request being made, a statement in writing giving full particulars of any sub-letting including the rent charged.",rent_agreement
"Delhi and Ajmer Rent Control Act, 1952",7,"Notice of increase of, or addition to, rent.-","(1) Where a landlord wishes to increase the rent of any premises, he shall give the tenant notice of his intention to make the increase and in so far as such increase is lawful under this Act, it shall be due and recoverable only in respect of the period of the tenancy after the end of the month in which the notice is given. (2) Every notice under sub-section (1) shall be in writing signed by or on behalf of the landlord and given in the manner provided in section 106 of the Transfer of Property Act, 1882 (4 of 1882). (3) For the avoidance of doubt, it is hereby declared that the provisions of this section apply equally to any increase in rent payable by the sub-tenant.",rent_agreement
"Delhi and Ajmer Rent Control Act, 1952",8,Cases in which standard rent may be fixed by court.-,"(1) In any of the following cases, namely:- (a) where, for any reason whatsoever, any dispute arises between a landlord and the tenant regarding the amount of standard rent payable in respect of any premises in accordance with the provisions of the Second Schedule; or (b) where, at any time on or after the 2nd day of June, 1944, any premises are first let and the rent at which they are let is, in the opinion of the court, unreasonable; the court may, on an application made to it for the purpose or in any suit or proceeding, fix the standard rent at such an amount as, having regard to the provisions of this Act and the circumstances of the case, the court deems just. (2) Where there is any dispute between the landlord and the tenant regarding the amount which is a lawful increase of the standard rent, the court may determine such amount. (3) Where for any reason it is not possible to determine the standard rent of any premises on the principles set forth in the Second Schedule, the court may, on an application made to it for the purpose, determine the standard rent, and in so doing, shall have regard to the standard rent of similar premises in the same locality and other circumstances of the case. (4) Infixing the standard rent of any premises under clause (b) of sub-section (1), the court shall fix an amount which appears to it to be reasonable and no standard rent so fixed shall exceed seven and one-half per cent. of the reasonable cost of construction of such premises. Explanation.-For the purposes of this sub-section, the ""cost of construction"", in respect of any premises, includes the market value of the land comprised in the premises at the time of the completion of such construction. (5) The standard rent shall in all cases be fixed as for a tenancy of twelve months: Provided that where any premises are let or re-let for a period of less than twelve months, the standard rent for such tenancy shall bear the same proportion to the annual standard rent as the period of tenancy bears to twelve months. (6) Where the court determines the standard rent of any premises under this section, the court shall determine the standard rent of the premises in an unfurnished state, and may also determine an additional charge to be payable on account of any fittings or furniture supplied by the landlord and it shall be lawful for the landlord to recover such additional charge from the tenant. (7) In every case in which the court determines the standard rent of any premises under this section, it shall specify a date from which the standard rent so determined shall be deemed to have effect: Provided that in no case, the date so specified shall be earlier than six months prior to the date of filing of the application for the determination of the standard rent or, as the case may be, of the institution of the suit or proceeding in which the standard rent is determined.",rent_agreement
"Delhi and Ajmer Rent Control Act, 1952",9,Fixation of interim rent by the court.-,"If an application for fixing the standard rent or for determining the lawful increase of such rent is made under section 8, the court shall, as expeditiously as possible, make an order specifying the amount of the rent or the lawful increase to be paid by the tenant to the landlord pending the final decision of the application and shall appoint a date from which the rent or lawful increase so specified shall be deemed to have effect.",rent_agreement
"Delhi Rent Act, 1995",1,Chapter I,"Preliminary 1. Short title, extent and commencement.- (1) This Act may be called the Delhi Rent Act, 1995. (2) It extends to the areas included within the limits of the New Delhi Municipal Council and the Delhi Cantonment Board and to urban areas within the limits of the Municipal Corporation of Delhi for the time being: Provided that the Central Government may, by notification in the Official Gazette, exclude any area from the operation of this Act or any provision thereof: Provided further that the Central Government may, by notification in the Official Gazette, exclude any premises or class of buildings from the operation of this Act or any provision thereof. (3) It shall come into force on such date as the Central Government may, by notification in the Official Gazette, appoint.",rent_agreement
"Delhi Rent Act, 1995",10,Notice of revision of rent.-,"(1) Where a landlord wishes to revise the rent of any premises under sub-section (1) of section 9, he shall give the tenant a notice of his intention to make the revision and, in so far as such revision is lawful under this Act, it shall be due and recoverable from the date of improvement, addition or structural alteration. (2) Every notice under sub-section (1) shall be in writing signed by or on behalf of the landlord and given in the manner provided in section 106 of the Transfer of Property Act, 1882 (4 of 1882).",rent_agreement
"Delhi Rent Act, 1995",11,"Rent authority to fix standard rent, etc.-","(1) The Rent Authority shall, on an application made to him in this behalf, in the prescribed manner, fix in respect of any premises- (i) the deemed rent for the purpose of clause (c) of sub-section (1) of section 3; (ii) the enhancement in rent in the manner provided in Schedule I; (iii) the standard rent as per the provisions of section 7; (iv) the other charges payable as per the provisions of section 8; and (v) the revision in rent as per the provisions of section 9: Provided that it shall not be permissible for the landlord to apply for the fixation of standard rent as per the provisions of section 7 in the case of a tenancy entered into after the commencement of this Act. (2) In working out the cost of construction of any premises or the market price of land comprised in such premises for the purposes of section 7 or the expenditure incurred for any improvement, addition or structural alteration or the decrease, diminution or deterioration of accommodation in a premises for the purpose of section 9, the Rent Authority may take the assistance of a prescribed valuer who shall carry out the assessment in the manner prescribed. (3) In fixing the standard rent of any premises or the lawful increase or decrease of the rent or determining the other charges payable, the Rent Authority shall fix or determine an amount which appears to him to be reasonable having regard to the provisions of section 7 or section 9 or section 8 and the other circumstances of the case. (4) In fixing the standard rent of any premises part of which has been lawfully sub-let, the Rent Authority may also fix the standard rent of such part sub-let. (5) Where for any reason it is not possible to determine the standard rent of any premises on the principles set forth in section 7, the Rent Authority may fix such rent as would be reasonable having regard to the situation, locality and condition of the premises and the amenities provided therein, and where there are similar or nearly similar premises in the locality, having regard also to the rent payable in respect of such premises. (6) The standard rent shall in all cases be fixed for a tenancy of twelve months: Provided that where any premises are let or re-let for a period of less than twelve months, the standard rent for such tenancy shall bear the same proportion to the annual rent as the period of tenancy bears to twelve months. (7) In fixing the standard rent of any premises under this section, the Rent Authority shall fix the standard rent thereof in an unfurnished state and may also determine an additional charge to be payable on account of any fittings or furniture supplied by the landlord and it shall be lawful for the landlord to recover such additional charge from the tenant. (8) in fixing the standard rent or lawful increase or decrease of rent or determining the other charges payable in respect of any premises under this section, the Rent Authority shall specify a date from which the amount so fixed shall be deemed to have effect: Provided that, in the matter of standard rent, in no case the date so specified shall be earlier than the date of the filing of the application for the increase or decrease of the standard rent: Provided further that if the increase is because of improvement, addition or structural alteration, it shall come into effect from the date of completion of such improvement, addition or alteration. (9) The Rent Authority may, while fixing standard rent or lawful increase or decrease in rent or other charges payable, order for payment of the arrears of amount due by the tenant to the landlord in such number of instalments as he deems proper.",rent_agreement
"Delhi Rent Act, 1995",12,Fixation of interim rent.-,"If an application for fixing the standard rent or for determining the lawful increase or decrease of rent or other charges payable is made under section 11, the Rent Authority shall, as expeditiously as possible, make an order specifying the amount to be paid pending final decision on the application and shall appoint the date from which the amount so specified shall be deemed to have effect.",rent_agreement
"Delhi Rent Act, 1995",13,"Limitation for application for fixation of standard rent, etc.-","A tenant may file an application to the Rent Authority for fixing the standard rent of the premises and a landlord or a tenant may file application for determining the lawful increase or decrease of rent or other charges payable,- (a) in the case of any premises which was let and in which the cause of action for lawful increase or decrease of rent or payment of other charges arose, before the commencement of this Act, within two years from such commencement; (b) in the case of any premises which was let after the commencement of this Act,- (i) for fixing the standard rent thereof, within two years from the date on which the premises was let; (ii) in any other case, within two years from the date on which cause of action arose: Provided that the Rent Authority may entertain the application after the expiry of the said period of two years, if he is satisfied that the applicant was prevented by sufficient cause from filing the application in time.",rent_agreement
"Delhi Rent Act, 1995",14,Limitation of liability of middlemen.-,"No collector of rent or middleman shall be liable to pay to his principal, in respect of any premises, any sum by way of rental and other charges which exceeds the amount which he is entitled under this Act to realise from the tenant or tenants of the premises.",rent_agreement
"Delhi Rent Act, 1995",15,Receipt to be given for rent paid.-,"(1) Every tenant shall pay rent and other charges payable within the time fixed by contract or in the absence of such stipulation, by the fifteenth day of the month next following the month for which it is payable and where any default occurs in the payment of rent or other charges, the tenant shall be liable to pay simple interest at the rate of fifteen per cent. per annum from the date on which such payment of rent and other charges payable is due to the date on which it is paid. (2) Every tenant who makes payment of rent or other charges payable or advance towards such rent or other charges to his landlord shall be entitled, against acknowledgment, to obtain forthwith from the landlord or his authorised agent a written receipt for the amount paid to him, signed by the landlord or his authorised agent: Provided that it shall be open to the tenant to remit the rent to his landlord by postal money order. (3) If the landlord or his authorised agent refuses or neglects to deliver to the tenant the receipt referred to in sub-section (2), the Rent Authority may, on an application made to him in this behalf by the tenant within two months from the date of payment and after hearing the landlord or his authorised agent, by order direct the landlord or his authorised agent to pay to the tenant, by way of damages, such sum not exceeding double the amount of rent or other charges paid by the tenant and the costs of the application and shall also grant a certificate to the tenant in respect of the rent or other charges paid. (4) If the landlord or his authorised agent refuses to accept or evades acceptance of receipt of rent and other charges payable to him, the tenant may, by notice in writing, ask the landlord to supply him the particulars of his bank account in a bank located in the National Capital Territory of Delhi into which the tenant may deposit the rent and other charges payable to the credit of the landlord. (5) If the landlord supplies the particulars of his bank account, the tenant shall deposit the rent and other charges payable in such bank account from time to time. (6) If the landlord does not supply the particulars of bank account under sub-section (4), the tenant shall remit the rent and the other charges payable to the landlord from time to time through postal money order after deducting the postal charges.",rent_agreement
"Delhi Rent Act, 1995",16,Deposit of rent by tenant.-,"(1) Where the landlord does not accept any rent and other charges payable tendered by the tenant within the time and the manner referred to in section 15 or refuses or neglects to deliver a receipt referred to therein or where there is a bona fide doubt as to the person or persons to whom the rent and other charges are payable, the tenant may deposit such rent and other charges payable with the Rent Authority in the prescribed manner: Provided that in cases where there is a bona fide doubt as to the person or persons to whom the rent and other charges are payable, the tenant may remit such rent and other charges payable to the Rent Authority by postal money order. (2) The deposit shall be accompanied by an application by the tenant containing the following particulars, namely:- (a) the premises for which the rent and other charges payable are deposited with a description sufficient for identifying the premises; (b) the period for which the rent and other charges payable are deposited; (c) the name and address of the landlord or the person or persons claiming to be entitled to such rent and other charges payable; (d) the reasons and circumstances for which the application for depositing the rent and other charges payable is made; (e) such other particulars as may be prescribed. (3) On deposit of the rent and other charges payable being made, the Rent Authority shall send in the prescribed manner a copy of the application to the landlord or the persons claiming to be entitled to the rent and other charges payable with an endorsement of the date of the deposit. (4) If an application is made for the withdrawal of any deposit of rent and other charges payable the Rent Authority shall, if satisfied that the applicant is the person entitled to receive the rent and other charges deposited, order the amount of the rent and other charges to be paid to him in the manner prescribed: Provided that no order for payment of any deposit of rent and other charges payable shall be made by the Rent Authority under this sub-section without giving all the persons named by the tenant in his application under sub-section (2) as claiming to be entitled to payment of such rent and other charges payable an opportunity of being heard and such order shall be without prejudice to the rights of such persons to receive such rent and other charges payable being decided by a court of competent jurisdiction. (5) If at the time of filing the application under sub-section (4) but not after the expiry of thirty days from receiving the notice of deposit, the landlord or the person or persons claiming to be entitled to the rent and other charges payable complains or complain to the Rent Authority that the statements in the tenant's application of the reasons and circumstances which led him to deposit the rent and other charges payable are untrue, the Rent Authority, after giving the tenant an opportunity of being heard, may levy on the tenant a fine which may extend to an amount equal to two months' rent, if the Rent Authority is satisfied that the said statements were materially untrue and may order that a sum out of the fine realised be paid to the landlord as compensation. (6) The Rent Authority may, on the complaint of the tenant and after giving an opportunity to the landlord of being heard, levy on the landlord a fine which may extend to an amount equal to two months' rent, if the Rent Authority is satisfied that the landlord, without any reasonable cause, refused to accept rent and other charges payable though tendered to him within the time referred to in section 15 and may further order that sum of fine realised be paid to the tenant as compensation.",rent_agreement
"Delhi Rent Act, 1995",17,Time limit for making deposit and consequences of incorrect particulars in application for deposit.-,"(1) No rent and other charges deposited under section 16 shall be considered to have been validly deposited under that section, unless the deposit is made within twenty-one days of the time referred to in section 15 for payment of the rent and other charges payable. (2) No such deposit shall be considered to have been validly made, if the tenant wilfully makes any false statement in his application for depositing the rent and other charges payable, unless the landlord has withdrawn the amount deposited before the date of filing an application for the recovery of possession of the premises from the tenant. (3) If the rent and other charges payable are deposited within the time mentioned in sub-section (1) and do not cease to be a valid deposit for the reasons mentioned in sub-section (2), the deposit shall constitute payment of rent and other charges payable to the landlord, as if the amount deposited had been validly tendered.",rent_agreement
"Delhi Rent Act, 1995",18,Saving as to acceptance of rent and other charges payable and forfeiture thereof in deposit.-,"(1) The withdrawal of rent and other charges payable deposited under section 16 in the manner provided therein shall not operate as an admission against the person withdrawing it of the correctness of the rate of rent and other charges payable the period of default, the amount due, or of any other facts stated in the tenant's application for depositing the rent and other charges payable under the said section. (2) Any rent and other charges payable in deposit which are not withdrawn by the landlord or by the person or persons entitled to receive such rent and other charges payable shall be forfeited to Government by an order made by the Rent Authority, if they are not withdrawn before the expiration of five years from the date of posting of the notice or deposit. (3) Before passing an order of forfeiture, the Rent Authority shall give notice to the landlord or the person or persons entitled to receive the rent and other charges in deposit by registered post at the last known address of such landlord or person or persons and shall also publish the notice in his office and in any local newspaper.",rent_agreement
"Delhi Rent Act, 1995",19,Chapter III,"Repairs of Premises 19. Duties of landlord.- (1) Subject to any contract in writing to the contrary, every landlord shall be bound to keep the premises in good and tenantable repairs in relation to matters falling under Part A of Schedule III. Explanation.-""Good and tenantable repairs"" under this section and section 20 shall mean such repairs as shall keep the premises in the same condition in which it was let out except for the normal wear and tear. (2) Where any repairs, in relation to a matter falling under Part A of Schedule III, without which the premises are not habitable or useable except with undue inconvenience are to be made and the landlord neglects or fails to make them within a period of three months after notice in writing, the tenant may apply to the Rent Authority for permission to make such repairs himself and may submit to the Rent Authority an estimate of the cost of such repairs, and, thereupon, the Rent Authority may, after giving the landlord an opportunity of being heard and after considering such estimate of the cost and making such inquiries as it may consider necessary, by an order in writing, permit the tenant to make such repairs at such cost as may be specified in the order and it shall thereafter be lawful for the tenant to make such repairs himself and to deduct the cost thereof, which shall in no case exceed the amount so specified, from the rent or otherwise recover it from the landlord: Provided that the amount so deducted or recoverable from rent in any year shall not exceed one-half of the rent payable by the tenant for that year and any amount remaining not recovered in that year shall be deducted or recovered from rent in the subsequent years at the rate of not more than twenty-five per cent. of the rent for a month: Provided further that where there are more than one premises owned by a landlord in a building, the tenants thereof may jointly carry out the repairs and share the expenses proportionately. (3) Nothing in sub-section (2) shall apply to a premises which- (a) at the time of letting out was not habitable or useable except with undue inconvenience and the tenant had agreed to take the same in that condition; (b) after being let out was caused to be not habitable or useable except with undue inconvenience by the tenant.",rent_agreement
"Delhi Rent Act, 1995",2,Definitions.-,"In this Act, unless the context otherwise requires,- (a) ""Bench"" means a Bench of the Tribunal; (b) ""Chairman"" means the Chairman of the Tribunal; (c) ""fair rate"" means the fair rate fixed under section 39 and includes the rate as revised under section 40; (d) ""hotel or lodging house"" means a building or a part of a building where lodging, with or without board or other services, is provided for a monetary consideration; (e) ""landlord"" means a person who, for the time being is receiving, or is entitled to receive, the rent of any premises, whether on his own account or on account of or on behalf of, or for the benefit of, any other person or as a trustee, guardian or receiver for any other person or who would so receive the rent or be entitled to receive the rent, if the premises were let to a tenant; (f) ""lawful increase"" means an increase in rent permitted under the provisions of this Act; (g) ""manager of a hotel"" includes any person in charge of the management of the hotel; (h) ""Member"" means a Member of the Tribunal and includes the Chairman; (i) ""owner of a lodging house"" means a person who receives or is entitled to receive whether on his own account or on behalf of himself and others or as an agent or a trustee for any other person, any monetary consideration from any person on account of board, lodging or other services provided in the lodging house; (j) ""premises"" means any building or part of a building which is, or is intended to be, let separately for use as a residence or for non-residential use or for any other purpose, and includes- (i) the garden, grounds and out-houses, if any, appertaining to such building or part of the building; (ii) any fittings to such building or part of the building for the more beneficial enjoyment thereof; but does not include a room in a hotel or a lodging house; (k) ""prescribed"" means prescribed by rules made under this Act; (l) ""Rent Authority"" means an authority appointed under sub-section (1) of section 43 and includes an additional Rent Authority appointed under sub-section (2) of that section; (m) ""standard rent"", in relation to any premises, means the rent calculated under section 7; (n) ""tenant"" means any person by whom or on whose account or behalf the rent of any premises is or, but for a special contract, would be payable, and includes- (i) a sub-tenant; (ii) any person continuing in possession after the termination of his tenancy, but does not include- (i) any person against whom an order or decree for eviction has been made, except where such decree or order for eviction is liable to be re-opened under the proviso to section 3 of the Delhi Rent Control (Amendment) Act, 1976 (18 of 1976); (ii) any person to whom a licence as defined in section 52 of the Indian Easements Act, 1882 (5 of 1882) has been granted; (o) ""Tribunal"" means the Delhi Rent Tribunal established under section 46; (p) ""urban area"" has the same meaning as in the Delhi Municipal Corporation Act, 1957 (66 of 1957).",rent_agreement
"Delhi Rent Act, 1995",20,Duties of tenant.-,"(1) Every tenant shall be bound to keep the premises in good and tenantable repairs in relation to matters falling under Part B of Schedule III. (2) Where any repairs, in relation to a matter falling under Part B of Schedule III, without which the premises are not habitable or useable except with undue inconvenience, are to be made and the tenant neglects or fails to make them within a period of two months after notice in writing, the landlord may apply to the Rent Authority for permission to make such repairs himself and may submit to the Rent Authority an estimate of the cost of such repairs, and, thereupon the Rent Authority may, after giving the tenant an opportunity of being heard and after considering such estimate of the cost and making such enquiries as he may consider necessary, by an order in writing, permit the landlord to make such repairs at such cost as may be specified in the order, and it shall thereafter be lawful for the landlord to make such repairs himself and to recover the cost of such repairs, which shall in no case exceed the amount so specified, from the tenant. (3) The landlord or a person authorised by him shall have the right to enter and inspect the premises after notice to the tenant in the manner prescribed. (4) The tenant shall make good all damages caused to the premises by his negligence within three months of being informed in writing to do so by the landlord failing which the landlord may apply to the Rent Authority for permission to make good the said damages and the Rent Authority shall decide the matter in the manner provided in sub-section (2). (5) The tenant shall hand over the possession of the premises on determination of tenancy in the same condition, except for the normal wear and tear, as it was in when it was handed over to him at the beginning of such tenancy and in a case where certain damages have been caused, not being damages caused by force majeur, the tenant shall make good the damages caused to the premises failing which the landlord may apply to the Rent Authority for permission to make good the said damages and the Rent Authority shall decide the matter in the manner provided in sub-section (2). (6) The tenant shall not, whether during the subsistence of tenancy or thereafter, demolish any improvement or alteration carried out by him in the premises or remove any material used in such improvement or alteration, other than any fixture of a removable nature, without the permission of the landlord failing which such demolition or alteration shall be deemed to be a damage caused by such tenant under sub-section (4) and shall be dealt with accordingly.",rent_agreement
"Delhi Rent Act, 1995",21,Cutting off or withholding essential supply or service.-,"(1) No landlord or tenant, either by himself or through any person purporting to act on his behalf, shall, without just and sufficient cause cut off or withhold any essential supply or service enjoyed by the tenant or the landlord, as the case may be, in respect of the premises let to him, or as the case may be, under his own occupation. (2) If a landlord or a tenant contravenes the provisions of sub-section (1), the tenant or the landlord, as the case may be, may make an application to the Rent Authority complaining of such contravention. (3) If the Rent Authority is satisfied that the essential supply or service was wilfully cut off or withheld, he may pass an order directing the restoration of the amenities immediately pending the inquiry referred to in sub-section (4). Explanation.-An interim order may be passed under this sub-section without giving notice to the landlord or the tenant, as the case may be. (4) If the Rent Authority on inquiry finds that the essential supply or service enjoyed by the tenant or the landlord was cut off or withheld by the landlord or the tenant, as the case may be, wilfully and without just and sufficient cause, he shall make an order directing the restoration of such supply or service. (5) The Rent Authority shall complete an enquiry under sub-section (4) within a period of one month of filing of an application for enquiry unless the Rent Authority, for reasons to be recorded in writing, decides that it is not possible to complete the enquiry within such period. (6) The Rent Authority may, in his discretion, direct that compensation not exceeding one thousand rupees be paid to- (a) the landlord or the tenant, as the case may be, by the complainant if the application under sub-section (2) was made frivolously or vexatiously; (b) the complainant, if the landlord or the tenant, as the case may be, had cut off or withheld the supply or service without just and sufficient cause. Explanation I.-In this section, ""essential supply or service"" includes supply of water, electricity, lights in passages and on staircases, conservancy and sanitary services. Explanation II.-For the purposes of this section, withholding any essential supply or service shall include acts or omissions, attributable to the landlord or the tenant, as the case may be, on account of which the essential supply or service is cut off by a local authority or any other agency.",rent_agreement
